Ime,Kategorija,Težavnost,Čas (min),Hranilna vrednost (kcal/100g),Koraki,Sestavine,Opis,Dolžina opisa (besede),Dolžina opisa (črke) 
Marmorirani browniji,Zabava,2,50,381,4,10,"Browniji so prav nebeško dobri, v tej različici pa so tudi lepi na pogled. Čokoladna osnova se lepo prepleta s prelivom iz kremnega sira in ustvarja videz marmornega vzorca!",29,145
Domači rogljički s šunko in skuto,Zabava,2,110,294,6,11,Domačim rogljičkom s skutnim nadevom in šunko ne bo nihče rekel ne!,12,56
Kedgeree,Testenine in žita,2,45,324,4,10,"Kedgeree je klasičen angleški viktorijanski zajtrk; gre za mešanico začinjenega riža, kuhane dimljene ribe in jajc. Jed je nekoliko obilna za zgodnje jutro, zlahka nahrani celo krdelo lakotnikov in je idealna za brunch.",33,187
Sladoledni sendviči,Zabava,2,100,417,4,6,"Nad sladolednimi sendviči bo navdušeno tako staro kot tudi mlado. Nikar jih ne kupujte v trgovini, raje pripravite domače!",19,104
Domača Kahlua,Pijača,2,90,384,5,8,Zelo močan kavni liker je primeren za pripravo različnih koktajilov in drugih prazničnih napitkov. Lahko pa ga uporabimo za pripravo zanimivih kolačev in piškotov.,24,140
Domač bananin liker,Banana na 1001 način,1,45,91,4,5,Doma pripravljen bananin liker je vsestransko uporaben. V lepi steklenici ga lahko podarimo za darilo ali uporabimo za pripravo številnih koktejlov.,21,128
Domači absint,Pijača,1,20,163,3,7,"Leta 1792 je dr. Pierre Ordinaire v francoskem delu Švice destiliral močno, 68% žgano pijačo, ki je vsebovala pelin, janež in druga zelišča. Pijačo je poimenoval »zdravilo za vse bolezni«, kmalu pa je postala zelo priljubljena, zato so jo začeli tržiti z imenom zelena vila. Zaradi napačnih zdravstvenih raziskav v preteklosti, je bil absint dolgo časa prepovedan.",57,308
Zelena testeninska solata,Vegetarijanstvo,1,18,184,3,8,"Solata, ki jo lahko jemo kot prilogo ali pa tudi kot samostojno jed!",13,56
Raža v kremasti omaki s kaprami,Kosilo,2,42,67,4,12,"Jed velja za eno najboljših ribjih jedi. Plavut je zelo sočna, omaka pa bo zgolj dopolnila in nadgradila okus.",19,92
Bučkini ocvrtki s krompirjem,Vegetarijanstvo,1,49,51,3,9,"Vsekakor nevsakdanji prigrizek ali lahka malica, ki jo popestri že čudovita oblika.",12,72
Solata iz brokolija in cvetače,Poletje,1,27,35,4,9,"Okusna, sveža, polna vitaminov ... in tako zelo hrustljava!",9,51
Goveji zvitki,Meso,2,83,146,5,12,Oplemenitite jih s panceto in kumaricami in uživajte v okusu!,10,52
Pečena raža z mangom,Kuhinje,2,35,65,4,10,"Okus njenih pečenih plavuti je prav poseben. Velja za eno izmed najboljših rib, ki jih lahko najdemo v Atlantskem oceanu in Sredozemskem morju. Zelo dobro se obnese s sladko prilogo.",30,153
Solata iz avokada in melone,Zdravo in vegi,1,20,89,3,8,Ko ste naveličani običajnih solat in bi radi poskusili nekaj novega.,11,58
Ingverjevi konjički,Božič in novo leto,2,68,366,4,12,Medenjaki v obliki konjičkov so značilni za skandinavsko praznično mizo. Švedi jim pravijo Dalahäst.,14,87
Orgazmični koktajl,Pijača,1,5,0,1,5,"Ob pitju tega koktajla vam bo adrenalin kar poskočil. Okusi, ki se prepletajo, so sami po sebi pravo doživetje. Triple sec liker, ki se pojavlja v koktajlu, je različica curaçao likerja, ki ima okus po pomarančni, s priokusom posušenih pomaračnih lupinic.",41,215
Kandirani cvetovi vijolice,Zabava,2,18,152,3,4,Kandirane cvetove lahko uporabite za dekoracijo različnih vrst peciva in tort. In tu je naš recept ...,17,86
Metin žele,Poletje,2,48,337,3,5,"Metin žele je nepogrešljiva priloga, ki se najlepše ujame s pečeno jagnjetino, ponudimo pa ga lahko tudi k pikantnim jedem. Dobro se bo obnesel tudi, če ga ponudimo poleg mesa z žara.",32,152
Sladke male hiške,Zima,3,189,452,4,15,"Hiške iz medenjakov in bombonov so čudovite. Tudi če nimamo dovolj časa, se lahko lotimo njihove izdelave, le bližnjico moramo ubrati in izdelati preprostejšo različico hiške. Hiške zavijemo v celofan in okrasimo s pisanim trakcem - in že je pred nami čedno majhno darilce!",44,230
Nadevan piščanec,Božič in novo leto,2,102,179,5,10,Za vse posebne priložnosti!,4,24
Žepki s kuhano šunko in zeljem,Jesen,2,74,144,5,11,"Prigrizek, katerega priprava nam ne bo vzela preveč časa.",9,49
Božični jelenčki,Božič in novo leto,2,38,369,5,11,"Letos je jelenček Rudolf prišel tudi k nam. Čudovito je izgledal, pa čisto premražen nosek je imel. Nekaj časa smo ga občudovali, tudi na jelko smo ga dali. Ker pa je preveč dišal, nam zdaj za njim zelo je žal.",40,171
Kandirane pomaranče s čokolado,Božič in novo leto,1,30,47,3,3,"Naj bodo darilca še slajša kot ponavadi. Ni treba kupovati dragih pralin in drugih dobrot, ko pa lahko prav takšne naredimo kar sami.",23,111
Medeni možički,Zima,2,160,340,3,12,"Medenjaki v obliki možičkov so veliko bolj zabavni kot navadni, okroglo oblikovani piškoti. Nasmeh na obrazu malih mož bo v dobro voljo spravil vse, ki jih pogledajo, še bolj pa njihov odličen okus po medu in prazničnih začimbah.",38,192
Kandirani pomarančni kolobarji,Božič in novo leto,2,410,387,5,3,"Sladki kolobarčki, ki bodo navdušili mlado in staro. Kot darilca ali kot okraski na slaščicah. Nikoli jih ne bo preveč.",20,100
Domači Irish cream,Pijača,2,35,174,4,6,"Irish cream je zelo znan liker, ki ga običajno dodamo v različne kave, vroče čokolade in tudi sladolede. Je zelo sladek in prijetnega okusa. Njegov okus pa je odvisen od tega, kater irski whisky uporabimo za pripravo.",37,181
Ocvrte mocareline kroglice,Piknik in žar,2,20,299,5,9,Ocvrte mocarelice ponudimo s paradižnikovo pomako ali omako tisočerih otokov in odplujemo v deželo 'Brezskrbi' ...,16,99
Paradižnikova pomaka,Piknik in žar,1,60,39,4,8,"Povabite prijatelje, ocvrite sir ali piščančje kračice in pripravite paradižnikovo pomako. Prijetno druženje bo nepozabno.",15,108
Browniji s čilijem in ingverjem,Kuhinje,2,41,402,5,12,"Browniji, v katerih se čokoladni okus prepleta s pekočim čilijem in svežo ostrino ingverja. Nepozabno. Dobili boste telefonske klice s prošnjo za recept.",23,131
Kokosovi kupčki,Božič in novo leto,1,41,379,4,5,Za ljubitelje kokosovih dobrot!,4,28
Piščančji gumbo,Okusi sveta,2,69,171,4,16,"Najlažji in najboljši način, da v svojo prehrano vključite več zelenjave.",11,63
Ovseni piškoti z rozinami,Zdravo in vegi,1,34,390,5,10,"Ne podlezite skušnjavi, da bi jih pekli dlje, kot je potrebno. Samo tako bodo takšni, kot morajo biti – rahli, slastni in nekoliko lepljivi.",24,117
Jagnječji curry,Meso,2,95,118,5,14,Ta curry je zelo lahko pripraviti. Skuhamo ga v večji količini in ostanek zamrznemo. Postrežemo ga lahko s kuhanim rižem ali s toplim naanom (indijski kruh).,26,132
Domači kremni liker,Pijača,1,12,50,2,4,"Le zakaj si ne bi prazničnih dni popestrili z dobrim, domačim in kremastim likerjem, katerega naredimo sami? Dodamo pa ga lahko tudi kolačem, tortam ali kremam.",26,135
Koktajl ščurek,Pijača,1,10,0,1,2,"V grlu boste čutili vsak požirek, saj je koktajl zelo močen.",11,50
Mešanica začimb za peko in pudinge,Božič in novo leto,1,10,453,1,6,"Mešanico lahko uporabljamo za pripravo piškotov, sadnih kolačev, pudingov ter tudi mesnih paštet, jedi iz mletega mesa in pečenk.",19,111
Začimbna mešanica za cimetove piškote,Domači pripravki,1,4,280,2,3,"Vanilja je draga začimba, vendar je vseeno najbolje kupovati cele stroke, ki jih lahko uporabimo tudi večkrat kot samo enkrat. Če jih dodamo v beli sladkor, se bo ta kmalu navzel njihove arome. Primešamo mu še cimet in že imamo pripravljeno aromatično začimbno mešanico, ki bo poskrbela, da bodo praznični piškoti še slajši!",53,272
Gepardova torta,Zabava,2,205,364,5,14,"Ta torta je svoje ime dobila po značilnem videzu, ki spominja na vzorec na gepardovem kožuhu. Bogat in gladek tortni nadev je posut s koščki krhke čokoladne skorjice.",28,139
Domači borovničev liker,Pijača,1,49,167,2,4,"Pravijo, da je borovničev liker pijača za ženske. Vendar se temu slastnemu in sladkemu okusu tudi moški ne bodo mogli upreti.",21,105
Črni rus,Pijača,1,8,0,1,3,"Ta koktajl se je prvič pojavil leta 1949. Ustvaril ga je belgijski natakar Gustave Tops, in sicer v čast ameriške ambasadorke v Luksemburgu.",23,118
Medeni srčki,Zima,2,94,367,4,14,"Domači medenjaki so vedno boljši od kupljenih, med peko pa se po hiši razširi prazničen in razkošen vonj po medu in začimbah.",22,104
Domači kavni liker,Pijača,1,20,358,3,5,"Okusen domači kavni liker lahko podarite za darilo. V mislih imejte le to, da ga je potrebno narediti že dober mesec pred tem, ko ga želimo podariti.",27,123
Janeževe kroglice,Italijanska,1,33,359,5,11,"Janeževe kroglice so mehki in sladki italijanski božični piškotki, ki so praznično pisani in lepo odišavljeni.",16,95
Domači amaretto,Pijača,1,30,384,2,6,"Amaretto je italijanski sladek mandljev liker. Legenda o nastanku likerja pravi, da je leta 1525 cerkev naročila italijanskemu slikarju Bernardino Luini (eden izmed učencev Leonarda da Vincija), naj poslika eno izmed svetišč s freskami. Ker je slikar potreboval živi model, da bi lahko narisal devico Marijo, je poprosil ovdovelo lastnico lokalne gostilnice, da mu pozira. Dekle mu je ugodilo in se mu tudi zahvalilo z darilcem, okusnim likerjem iz mareličnih pešk, ki ga je naredilo samo.",76,414
Smrečica iz medenjakov,Božič in novo leto,3,80,333,4,13,"Smrečica, ki jo lahko uporabimo kot svečnik. Ko odsluži svojemu namenu, jo razstavimo in se z njo posladkamo.",18,92
Piškoti sladkorne palice,Božič in novo leto,2,90,477,4,8,"Za praznično vzdušje in veselje otrok lahko pripravimo prav prisrčne piškotke, ki so videti skoraj tako kot sladkorne palice.",19,107
Trikotniki z mletim mesom in zelenjavo,Zabava,2,70,244,6,13,"Ker jih hitro pripravimo, so idealni za tiste trenutke, ko pričakujemo večje število gostov, pa nimamo časa ustvarjati kaj bolj zakompliciranega! Privoščite si trikotnike z mletim mesom in zelenjavo!",29,171
Piškoti s kandiranim sadjem in oreški,Zima,1,30,367,4,13,"Piškoti, ki so tako bogati, da je testa le za vzorec - prepolni so koščkov kandiranega sadja in oreškov.",19,86
Snežaki z beljakovo glazuro,Božič in novo leto,3,280,438,4,13,"Nič ni lepšega, kot če za praznike ponudimo piškote ljubkih oblik in barv. Če so vam klasične zvezdice že malo dolgočasne, pa poskusite s snežaki, ki so videti kot pravi.",30,141
Čokoladne zvezdice,Božič in novo leto,2,100,446,6,9,"Za praznike priporočamo peko čokoladnih zvezdic, ki so dobrega okusa in še lepšega videza. Lahko jih tudi podarite za darilo.",20,106
Domači marshmallowsi,Zabava,2,780,382,5,7,"Marshmallow oziroma slez je rastlina iz katere že dolgo časa pridobivajo lepljivo in želatinasto tekočino, ki se uporablja kot zdravilo za boleče grlo. Ker pa je sama tekočina precej neprijetnega okusa, so jo zmešali s sladkorjem in vodo, kar je povzročilo, da se je zmes nekoliko napihnila. Tako so nastale vsem dobro poznane sladkorne penice. V današnjem času se marshmallow izdeljuje iz sladkorja, koruznega sirupa, vode in želatine.",68,369
Kisir,Zelenjava,2,44,274,4,14,"Nekoliko spominja na tabuleh, vendar je bolj začinjen. Pripravljen je iz finega bulgurja, peteršilja, paradižnikove mezge in začimb. Poskusite!",19,125
Cimetovi piškoti,Božič in novo leto,1,91,398,3,8,"Idealen recept za vse male kuharje, ki se peke piškotov šele učijo. Kljub zagotovljenemu uspehu in prirojenim spretnostim naj bodo (samo za vsak primer) blizu mami, oči, babi ali dedek.",30,156
Oreščki s slanino,Zabava,1,45,494,4,12,"Sladko, slano, oreškasto, karamelizirano in z dodatkom hrustljavo zapečene slanine - če to niso sanje vsakega ljubitelja prigrizkov! Ponudite jih svojim gostom in zagotovo bodo želeli izvedeti, kje ste dobili recept.",31,186
Karamelna pokovka,Zabava,3,40,399,4,9,"Ta pokovka je nekoliko neobičajna, a še vedno neznansko okusna. Američani jo naravnost obožujejo!",14,84
Čokoladna kava z višnjami,Zabava,1,15,165,2,6,Privoščite si prefinjen kavni napitek!,5,34
Jesenska kava,Jesen,1,19,273,2,7,Pričarajte si mavrico okusov in se pocrkljajte s čisto posebno kavo.,11,58
Čokoladne kroglice iz arašidovega masla,Božič in novo leto,1,270,527,5,7,"Sladke kroglice, ki bodo razveselile stare in mlade. Priprava je nadvse enostavna in zabavna.",14,80
Kapučino napitek z jajčnim likerjem,Božič in novo leto,1,19,2,2,5,Za posebne priložnosti seveda morate ponuditi nekaj posebnega!,8,55
Orehove kepice,Zima,1,95,402,4,7,"Orehove kepice sodijo med drobno praznično pecivo, ki pa si ga seveda lahko privoščimo, kadar koli nam to prija - ne le ob prazničnih dneh.",25,115
Božična štruca,Božič in novo leto,2,190,446,6,15,"Prazniki so že pred vrati - treba se bo posladkati! Pripravite božično štruco, ki vas bo očarala s svojim aromatičnim okusom.",21,105
Kokosovi božični stožci,Zabava,2,42,393,4,7,"Sladica za vse tiste, ki imajo bujno domišljijo.",8,41
Ruski mesni pelmeni,Meso,2,48,266,4,10,"Glede na stare ruske zapise recept za pripravo pelmenov izvira iz Sibirije. Včasih so bili priljubljena hrana lovcev. Verjetno iz dveh razlogov - priprava je enostavna, lahko pa so jih tudi zamrznili, saj dobro prenašajo nizke temperature.",37,203
Ržena juha,Velika noč,2,120,54,4,13,"Osnova te juhe je kisli pripravek iz ržene moke. V juho zakuhamo zelenjavo in klobase, postrežemo pa jo v izdolbenih kruhovih skodelicah iz ržene moke.",25,127
Njoki za lenobe,Poletje,1,30,205,4,6,"Njoki so nadvse primerni za tiste dni, ko se nam ne ljubi veliko početi, a bi vseeno radi kaj dobrega pojedli.",21,90
Češnjev ponvičnik,Pomlad,2,40,151,5,9,"Izvirno ime te francoske sladice je clafoutis, češenj zanjo pa naj ne bi izkoščičili, saj naj bi njihove peške dodale sladici poseben, oreškast okus. Seveda pa je češnjev ponvičnik veliko lažje jesti, če ne vsebuje pešk.",36,185
Jajčne pitice,Zabava,3,70,418,5,10,"Majhne jajčne pitice (egg tart) najdemo tako v Hongkongu kot na Portugalskem, kar niti ni presenetljivo glede na to, da so Portugalci že v 16. stoletju ustanovili kolonijo na Kitajskem. Sestavine v receptu zadoščajo za pripravo 10 do 12 pitic.",40,204
Pita z zelenjavo in rakci,Kuhinje,2,120,202,6,16,Različica lotarinške sirove pite - tokrat z rakci in zelenjavo.,10,54
"Fajita s piščancem, govedino in rakci",Okusi sveta,2,85,214,4,14,"Fajita je značilna mehiška jed. Pšenične ali koruzne tortilje napolnijo z nadevom iz praženih ter močno začinjenih koščkov mesa in zelenjave ali pa jih ponudijo ločeno, da si vsak jedec sam izdela zavitek.",33,173
Čokoladni adventni koledar,Božič in novo leto,3,75,541,4,5,Pripravite prav poseben adventni koledar iz marcipana in čokolade!,9,58
Svinjski satay,Azijska,1,45,144,3,10,"V originalu se satay pripravlja iz piščančjega mesa. Tokrat pa smo ga zamenjali s svinjino, ki pa ni prav nič slabša. Ravno tako je zelo sočna in okusna.",28,126
Popečene ostrige,Kuhinje,2,25,52,4,9,"Ko želite narediti dober vtis na svoje goste, jim za predjed postrežite z ostrigami. Vendar pazite, da jih postrežete le v mesecih s črko 'r' v imenu.",27,124
Glazirane češnje,Pomlad,2,75,221,4,5,"Glazirane češnje so nepogrešljive pri pripravi sladic, koktajlov in sadnih kup, privoščimo pa si jih lahko tudi kar tako, za dobro voljo. Priprava ni pretežka, njihova prednost pa je v tem, da vam jih ne bo treba nikoli več iskati po trgovinah.",42,203
Koktajl krvaveče srce,Pijača,1,7,0,2,2,Koktajl ima zelo močan okus. Ob srkanju pa vas bo zaradi visoke prisotnostisladkorja v pijači kar nekoliko zapeklo po grlu.,20,104
Kandiran ananas,Zima,1,100,52,4,3,"Doma pripravljeno kandirano sadje je najboljša poslastica za male in velike otroke, za pogostitev gostov in kot sestavina domačih kolačev.",20,119
"""Sidecar"" koktajl",Pijača,1,8,0,1,4,"Točen izvor koktajla ni znan, vendar naj bi bil prvič pripravljen nekje po prvi svetovni vojni. Zelo je priljubljen v Parizu, morda prav zaradi svojega odličnega okusa.",27,142
Eliksir ljubezni,Pijača,1,5,331,2,6,"Ljubko, sladko in čarobno. To bodo občutki, ko bo koktajl spolzel po grlu.",13,62
Puranja prsa s sadnim nadevom,Božič in novo leto,2,70,194,5,13,Puranja prsa s sadnim nadevom ... hmmm ... sliši se praznično!,11,52
Napitek iz kosmulj,Poletje,1,27,52,3,4,Tudi iz kosmulj se da z malo truda pripraviti izvrsten napitek!,11,53
Polnjene paprike po bolgarsko,Zelenjava,2,55,108,4,9,Za sedem lačnih ust!,4,17
Negronijev koktajl,Pijača,1,5,0,1,4,"Koktajl naj bi izumil lord Camillo Negroni v Firencah leta 1919. Natakarju v kavarni Caffè Cavalli (nekoč Caffè Casoni) je dejal, da naj zaostri okus koktajla Amerikano, saj mu mineralna voda v koktajlu nikakor ni bila po godu. In nastal je koktajl Negroni.",43,215
Marinirana jagnječja pečenka,Božič in novo leto,2,75,181,4,11,"Nenavadna kombinacija sestavin in okusov za zelo posebne priložnosti. Meso bo tako dobro, da si bodo vsi še dolgo oblizovali svoje prste.",22,116
Jelenova pečenka,Zima,2,110,116,5,8,"Odlična in sočna pečenka, ki bo navdušila še tako izbirčne jedce. Ob praznikih bo prava poslastica.",16,84
Paradižnikova juha z rižem,Slovenska,2,38,71,4,7,"Nasitna juha, ki jo boste zlahka pripravili!",7,38
Mini tortice,Zabava,3,80,469,5,8,Mini tortice za maksimalni užitek!,5,30
Božične testenine,Božič in novo leto,1,23,332,3,9,Božične testenine so lahko prava popestritev božične večerje. Naj bo letošnji božič nekaj posebnega!,14,87
Telečja pečenka,Slovenska,2,100,142,5,7,"Pečenka, s katero boste za vedno ostali v lepem spominu vseh svojih gostov.",13,63
Lešnikova torta,Zabava,3,160,466,8,15,Lešnikova torta za vse sladokusce!,5,30
Bananin smoothie,Zdravo in vegi,1,10,93,2,5,Hitro pripravljeno in v užitku okusov popito.,7,39
Peresniki z ohrovtom,Zima,2,35,264,3,7,"Pisane testenine bodo razveselile ljubitelje peresnikov in ohrovta. Preprosta jed, v kateri se prepletajo odlični okusi.",16,105
Vegetarijanski sendvič,Vegetarijanstvo,1,15,128,2,8,"Odličen sendvič, nabito poln dobre zelenjave, je sočen in nasiten.",10,57
Kardamomov čaj,Zdravo in vegi,1,18,300,2,2,"Čaj je kot nalašč primeren za tiste dni, ko nas mučijo bolečine v želodcu, krči ali ko imamo težave s prebavo. Priprava je hitra in enostavna. Preizkusite ga in bolečine bodo kaj kmalu odpravljene.",34,164
Brstični ohrovt s sirom,Zima,1,35,154,3,5,"Kot nalašč za zimo. Odlična topla priloga k raznim pečenkam, slastnim pitam in drugim jedem, ki si jih pripravimo za praznike.",21,106
Napoleonovi klobučki,Božič in novo leto,3,138,268,4,12,Praznično pecivo slastnega okusa ter simpatičnega izgleda in imena.,9,59
Enolončnica z govedino in pivom,Zima,1,170,70,5,18,"Zelenjava, ki jo bodo z veseljem pojedli tudi moški - saj je pripravljena z mesom in pivom.",17,75
Božični kruh,Božič in novo leto,3,168,423,6,12,Ponudite ga s skodelico dobrega čaja ali aromatiziranega kuhanega vina!,10,62
Panettone z rozinami,Božič in novo leto,3,180,349,5,10,Naj ne manjka na praznični mizi!,6,27
Gratiniran krompir z rumeno repo,Zima,2,100,47,5,14,"Zlato rumeno zapečena zloženka iz krompirja in rumene repe. Ponudimo jo kot prilogo slavnostnega kosila, na primer k pečenki, ali kot glavno jed z veliko skledo solate.",27,142
Kremna juha iz rdeče pese in krompirja,Jesen,1,90,77,3,9,Želite v svojo prehrano vključiti več zelenjave? Bi radi jedli bolj barvito hrano? Nežna in kremasta juha iz rdeče pese zagotovo zadovolji obe potrebi.,24,128
Mediteranska riževa solata s tuno,Piknik in žar,1,42,50,3,16,"Riževe solate z zelenjavo so odlična ideja za nekoliko bolj lahko kosilo, malico ali večerjo. S pravim izborom zelenjave, svežimi zelišči in tuno pa bo to postal hranljiv in priljubljen obrok.",31,162
Uheljčki z repinim listjem,Italijanska,1,30,191,5,6,"Jed je preprosta, sestavine so poceni, ko pa jo poskusimo, nas preseneti z bogatim okusom. Nepogrešljivi sestavini sta italijanske testenine orechiette (uheljčki) in repino listje. Italijani to jed imenujejo 'strascinati alle cime di rapa'.",34,207
Božično deblo,Božič in novo leto,2,75,396,5,20,"Bogat čokoladni biskvit s praženimi orehi in kremasto, debelo čokoladno kremo. Sladica, ki si jo moramo privoščiti vsaj enkrat na leto – za božič.",24,123
Zeliščna pita,Slovenska,2,75,293,4,14,"Ponudite jo lahko kot predjed, glavno jed ali kot prilogo. V vseh oblikah bo več kot dobrodošla popestritev mize.",19,95
Jajčevci z mocarelo in baziliko,Priloge,2,80,129,3,6,"Prijetno zapečeni jajčevci, prekriti z okusno mocarelo ter ravno prav začinjeni. Tako slastne priloge zlepa ne boste mogli pozabiti.",19,114
Višnjev zavitek,Poletje,2,55,290,4,6,"Hitro in preprosto pripravljen in okusen višnjev zavitek, iz katerega se bodo okusi kar cedili.",15,81
Jesenski zavitek,Jesen,2,65,247,4,11,"Ko jeseni na drevesih dozorijo sadeži, si lahko pripravimo odličen jesenski zavitek, ki nas bo spomnil na pisane barve jeseni in njene prijetne vonjave.",24,129
Manti,Testenine in žita,2,100,229,6,14,"Polnjene testenine, kot jih pripravljajo v Turčiji.",7,45
Pistacijevi piškoti,Zabava,1,58,418,5,6,Vaniljev sladkor in pistacija ... to je prava kombinacija!,9,50
Žele iz črne kave,Sladice,1,201,332,3,5,"Včasih je treba poskusiti tudi kaj novega, zato tokrat za spremembo pripravite kavo v 'trdem agregatnem stanju'.",17,96
Črno-bela pita,Slovenska,2,160,319,5,21,Svet nikakor ni samo črn in bel. Tudi okusi niso le takšni. Vendar pa tale pita spominja na črno belo poslastico.,21,93
Makov zavitek s češnjami,Slovenska,2,80,299,4,12,"Makova slaščica, ki bo navdušila še tako izbirčne.",8,43
Linška torta,Sladice,2,85,436,5,11,Torta je dobila ime po avstrijskem mestu Linz. Recept zanjo naj bi veljal za enega najstarejših zapisanih receptov.,18,98
Marelična pita z mandlji,Slovenska,2,120,181,5,19,S svojo prelepo živo sončno barvo nam bo pita narisala nasmeh na obrazu.,13,60
Tortelini z nadevom iz kozic,Italijanska,2,67,177,7,13,Preizkusite se v pripravi polnjenih tortelinov. Tokrat izberite nadev iz kozic!,11,69
Zajtrk za zaljubljene,Valentinovo,1,15,440,2,4,"Presenetite svoje najdražje in jim za zajtrk pripravite nekaj, kar bo že na pogled okusno.",15,76
Topla limonina pita,Sladice,2,120,262,4,11,Toplo in okusno presenečenje na domači mizi.,7,38
Korenčkova juha z ingverjem,Vegetarijanstvo,1,50,81,4,12,Pripravite svojim domačim juho iz zelo zdravih sestavin. Naj vam tekne!,11,61
Limonina pita,Zabava,2,73,352,5,14,Ni samo paša za oči. Tudi okus vas bo presenetil in zasvojil.,12,50
Kakijeva pita,Sladice,2,80,265,4,13,"Zakaj ne bi, ko je ravno pravi čas za kakije, naredili iz njih okusne in slastne pite. Dišalo bo že med samo pripravo.",23,96
Kandirana pomarančna lupinica,Zima,2,315,371,4,3,Pripravite domače kandirane pomarančne lupinice in nikoli več vam ne bo treba v zadnjem hipu brskati po policah trgovin!,19,102
Nadevane paprike,Zelenjava,2,34,69,3,10,"Ko ne veste, kaj bi počeli s papriko in rižem, uporabite ta recept, dodajte ščepec izbranih začimb in uživajte v okusu!",21,99
Nojevi zrezki v sirovi omaki,Meso,2,9,189,2,8,"Se tudi vam zdi, da je čas za nekaj zares posebnega?",11,42
Kanapeji s panceto,Zabava,2,20,186,2,4,"Ko potrebujemo nekaj posebnega za goste, a ne vemo, kaj bi jim postregli.",13,61
Cvetača s sirovo omako,Zelenjava,1,35,178,4,11,To bo zagotovo navdušilo vse ljubitelje zelenjave.,7,44
Puranje rulade,Meso,2,37,136,4,10,"Puranje rulade, ki jih boste z veseljem pojedli! Poleg se prileže tunina omaka, ki popestri okus!",16,82
Piščančja kepa,Mesec smetanovih jedi,2,225,151,4,6,Presenetite svoje goste in jim za predjed ponudite domačo specialiteto!,10,62
Svinjska pečenka s sladko-kislo omako,Kuhinje,2,120,105,6,16,Slastna in sočna svinjska pečenka s hrustljavo zapečeno skorjico. Za vse ljubitelje kombinacije različnih okusov!,15,99
Zrezki v omaki iz zélene,Slovenska,1,20,102,4,12,Naredite nekaj novega in presenetite. Omaka bo prava poslastica.,9,56
Kvašeni angelčki,Slovenska,3,120,388,7,13,"Mlečni kruhki so veliko bolj zabavni, če jih oblikujemo kot angelčke in okrasimo z rozinami. Ponudimo jih za zajtrk in nihče ne bo lačen odšel od doma.",27,125
Pretaknjena goveja pečenka,Slovenska,2,210,224,7,18,"Naj bo postrežena za praznik ali nedeljsko kosilo, vedno bo okusna.",11,57
Angelček,Kuhinje,2,145,390,6,15,"Potrebujete angelčka? Specite si jih sami. Sestavine zadoščajo za pripravo 16 angelčkov, od katerih je vsak visok (pravzaprav dolg) 12,5 cm.",21,120
Telečji zrezki s kaprami,Meso,2,20,124,4,9,"Zelo hitro pripravljeni telečji zrezki v odlični kremni omaki bodo kot nalašč za dneve, ko nimate veliko časa.",18,93
Pečena raca z medom in ingverjem,Azijska,2,110,213,4,4,Preprosta jed z vonjem po Kitajski!,6,30
Medeno žganje,Domači pripravki,1,13,250,2,2,"Ste vedeli, da je priprava domačega medenega žganja tako zelo preprosta! Uporabite naš recept in presenetite svoje goste!",18,104
Slivov drobljenec,Jesen,1,57,422,3,7,Enostavna priprava in čudovit okus!,5,31
Lososova terina,Zabava,2,175,278,5,12,"Ko ne veste, s čim bi postregli za predjed, a bi zelo radi navdušili svoje goste, je terina kot nalašč primerna izbira.",22,98
Klobasice z janežem,Slovenska,2,145,245,5,6,"Pripravite jih sami, ponudite jih s primerno prilogo in poželi boste navdušenje gostov.",13,75
Pečenice,Meso,1,14,371,1,3,Repa in pečenice je jed za domače veselice!,8,36
Domači ocvirki,Slovenska,1,60,334,3,5,Doma pripravljeni ocvirki iz svinjske kože in špeha!,8,45
Škotski mandljev kolač,Božič in novo leto,2,165,353,6,14,"Škoti ta kolač imenujejo Dundee cake. Zelo popularen je bil v 19. stoletju, pa tudi danes je ta kolač, okrašen z blanširanimi mandlji, reden gost na njihovi božični praznični mizi.",30,151
Pečena telečja krača,Božič in novo leto,2,145,114,4,12,Sočno pečena telečja krača v sožitju z žafranovo rižoto.,9,48
Janeževi piškotki,Slovenska,1,50,143,3,4,"Piškotki, ki jih hitro spečemo, dom pa napolnijo s prijetnim vonjem po janežu.",13,66
Domači bebe piškoti,Sladice,2,40,247,6,7,"Vsi jih poznamo - in zdaj jih lahko doma pripravimo tudi sami! Iz sestavin naredimo 4 ducate in pol 7,5 cm dolgih domačih bebe piškotov.",25,112
Pečena jabolka z orehi in marcipanom,Martinovo,1,38,140,2,8,Mmmmmm ... kako lepo diši v naši domači kuhinji!,9,40
Čokoladni piškoti za pomakanje,Kuhinje,1,60,378,5,10,"Jutranja razvada, ki se ji ne boste mogli odpovedati - zaradi teh piškotov boste zjutraj veliko lažje vstali, si skuhali čaj, belo kavo ali kakav in si jih privoščili. Iz sestavin lahko pripravite 24 do 30 piškotov.",37,179
Hruškov drobljenec,Jesen,1,42,263,2,7,"Hruškov drobljenec vas bo v mislih popeljal v sadovnjak, poln jesenskih sadežev!",12,69
Hruškov smoothie,Vegetarijanstvo,1,10,66,2,6,"Smoothie, v katerega dodamo samo najboljše.",6,38
